log_likelihood,silhouette_score,calinski_harabasz_score,davies_bouldin_score,recovery_occupancy_pct,baseline_occupancy_pct,strain_occupancy_pct,recovery_mean_severity,baseline_mean_severity,strain_mean_severity,eval_rows,eval_users,fold,experiment,condition,model
0.0,0.028898458502973328,711.1798373320254,4.4751230253358605,33.77717391304348,32.518115942028984,33.70471014492754,3.2165194453876182,4.910660272253643,6.865280186574307,11040.0,60.0,2,Exp1_Synth_to_Synth,Synthetic_Baseline,Severity_Tercile
0.0,0.18196367991370804,2920.783117284476,1.7601366891512873,44.64673913043478,28.08876811594203,27.264492753623188,3.640428042705758,6.0335459167639245,6.151389785083852,11040.0,60.0,2,Exp1_Synth_to_Synth,Synthetic_Baseline,KMeans
-7.942796162521346,0.22462002778269793,294.43675187564696,1.4955961639458841,41.84100418410041,30.683403068340308,27.475592747559276,3.4785499138239993,6.3060734291328675,6.608784102274327,717.0,12.0,2,Exp2_Real_to_Real,Real_Only_Baseline,GMM
0.0,0.03582848147926656,46.151020718496774,4.400298313605003,34.30962343096235,33.054393305439326,32.63598326359833,3.0710113149048257,5.144072687903055,7.513750368396846,717.0,12.0,2,Exp2_Real_to_Real,Real_Only_Baseline,Severity_Tercile
0.0,0.23589194004502084,305.4529894677471,1.4381527485283432,45.467224546722456,30.125523012552303,24.407252440725244,3.561738650500244,6.331162444961062,6.880992620170309,717.0,12.0,2,Exp2_Real_to_Real,Real_Only_Baseline,KMeans
-8.9272919572732,0.21947049223511397,264.73436260465866,1.5153243505236533,41.56206415620641,30.543933054393307,27.89400278940028,3.4746379684263,6.323268548648487,6.562968349797085,717.0,12.0,2,Exp3_Synth_to_Real,ZeroShot_Transfer,GMM
0.0,0.034890492587398944,61.721374120105004,3.782181146361135,32.77545327754533,27.475592747559276,39.74895397489539,3.0172930233436315,4.903503429895502,7.220272142208091,717.0,12.0,2,Exp3_Synth_to_Real,ZeroShot_Transfer,Severity_Tercile
0.0,0.2249562411532179,271.5067780878981,1.4879204248202924,40.0278940027894,31.938633193863318,28.03347280334728,3.3609804002165764,6.302184136130423,6.5921893267086995,717.0,12.0,2,Exp3_Synth_to_Real,ZeroShot_Transfer,KMeans
-8.571651194458358,0.21979261723954702,271.551139871203,1.5149379682056534,41.701534170153415,30.404463040446306,27.89400278940028,3.480020072153044,6.33206883767152,6.559572942591608,717.0,12.0,2,Exp4_Synth_Plus_Real_to_Real,Ratio_1:1,GMM
-8.715029537875271,0.21836592429783128,268.0604750296716,1.5194581984222184,41.42259414225941,30.683403068340308,27.89400278940028,3.4726990205512394,6.312937807460627,6.562968349797085,717.0,12.0,2,Exp4_Synth_Plus_Real_to_Real,Ratio_2:1,GMM
