log_likelihood,silhouette_score,calinski_harabasz_score,davies_bouldin_score,recovery_occupancy_pct,baseline_occupancy_pct,strain_occupancy_pct,recovery_mean_severity,baseline_mean_severity,strain_mean_severity,eval_rows,eval_users,fold,experiment,condition
-8.715029537875274,0.21836592429783128,268.0604750296716,1.5194581984222186,41.42259414225941,30.683403068340308,27.89400278940028,3.4726990205512394,6.312937807460627,6.562968349797085,717.0,12.0,2,Exp4_Synth_Plus_Real_to_Real,Ratio_2:1
-8.799886369849515,0.21895660168227452,266.51877156017355,1.5177368247093186,41.56206415620641,30.543933054393307,27.89400278940028,3.4746379684263,6.323268548648487,6.562968349797085,717.0,12.0,2,Exp4_Synth_Plus_Real_to_Real,Ratio_4:1
-8.785679782398677,0.16837332148248596,2748.708180302424,1.8409595414443114,44.20289855072464,28.41485507246377,27.382246376811594,3.728940215658147,5.9508934971609415,5.999493362470776,11040.0,60.0,3,Exp1_Synth_to_Synth,Synthetic_Baseline
-8.140648889890475,0.20381461928836847,272.6305395824839,1.5928161066972628,42.857142857142854,29.35064935064935,27.79220779220779,3.60396474515945,6.336259174851851,6.530281572511439,770.0,12.0,3,Exp2_Real_to_Real,Real_Only_Baseline
-8.99666803931347,0.19715766746798455,243.40500686792373,1.6140378181758583,43.506493506493506,30.25974025974026,26.233766233766232,3.6316768775409116,6.293914828550279,6.612323202515667,770.0,12.0,3,Exp3_Synth_to_Real,ZeroShot_Transfer
-8.667438696294642,0.1994725330795095,250.08745211739173,1.6031920494581284,44.675324675324674,29.48051948051948,25.844155844155843,3.6550093270195902,6.336323822399112,6.6488164811922,770.0,12.0,3,Exp4_Synth_Plus_Real_to_Real,Ratio_1:1
-8.79719718982142,0.19776538066919067,247.29652593329925,1.6126821217709324,43.506493506493506,29.740259740259738,26.75324675324675,3.62545053046781,6.32466502158021,6.582082418873788,770.0,12.0,3,Exp4_Synth_Plus_Real_to_Real,Ratio_2:1
-8.87776605583823,0.19753326086166997,246.10609833669452,1.6133842129565965,43.37662337662337,30.129870129870127,26.49350649350649,3.6261479046578504,6.300540844808763,6.597668234241323,770.0,12.0,3,Exp4_Synth_Plus_Real_to_Real,Ratio_4:1
-8.789951704125013,0.1673539254441842,2716.030439279827,1.854646514245191,44.039855072463766,28.795289855072465,27.164855072463766,3.732996782309321,5.921894242534637,6.045390401591862,11040.0,60.0,4,Exp1_Synth_to_Synth,Synthetic_Baseline
-8.208777339088966,0.2166344855649402,354.1165634283611,1.529235210828735,41.70353982300885,30.199115044247787,28.097345132743364,3.498580068415528,6.344409720345237,6.831616420537981,904.0,12.0,4,Exp2_Real_to_Real,Real_Only_Baseline
-9.236693960194122,0.2060380052802397,314.7006223786668,1.566876516813655,40.48672566371682,30.973451327433626,28.539823008849556,3.472309868183257,6.307172853844801,6.78040813733308,904.0,12.0,4,Exp3_Synth_to_Real,ZeroShot_Transfer
-8.881067412798457,0.20767154893209328,324.6919867577437,1.5641713924963696,40.81858407079646,30.973451327433626,28.207964601769913,3.4849449570373543,6.304784414274792,6.8036658239993155,904.0,12.0,4,Exp4_Synth_Plus_Real_to_Real,Ratio_1:1
-9.03658089645223,0.20803563080946005,320.97263871120515,1.5590317288248976,40.81858407079646,30.752212389380528,28.42920353982301,3.4800836173248997,6.323575548312534,6.786436782255948,904.0,12.0,4,Exp4_Synth_Plus_Real_to_Real,Ratio_2:1
-9.118207340513955,0.20643869826292985,317.9248937778662,1.5660850061548952,40.48672566371682,31.08407079646018,28.42920353982301,3.4750555613489045,6.299766981388161,6.786436782255948,904.0,12.0,4,Exp4_Synth_Plus_Real_to_Real,Ratio_4:1
-8.778632387564468,0.1651976201952922,2726.225944116045,1.8751142040883872,43.423913043478265,28.786231884057973,27.78985507246377,3.7431100293568824,5.901158187664104,6.019010571805394,11040.0,60.0,5,Exp1_Synth_to_Synth,Synthetic_Baseline
-8.090025509552149,0.2199313546286312,282.1162742829384,1.5281593160056712,42.876344086021504,31.451612903225808,25.672043010752688,3.497647416469099,6.404151364307439,6.815590544121232,744.0,12.0,5,Exp2_Real_to_Real,Real_Only_Baseline
-9.074783785068664,0.21891795303910175,260.549168639914,1.5312314700963257,43.54838709677419,32.123655913978496,24.327956989247312,3.49846247449898,6.376047948872991,6.9542620856929505,744.0,12.0,5,Exp3_Synth_to_Real,ZeroShot_Transfer
-8.709950249172675,0.21976763992281884,267.4469391433595,1.5291289679694564,43.413978494623656,32.526881720430104,24.059139784946236,3.492012159679703,6.360401420169496,6.977439484755175,744.0,12.0,5,Exp4_Synth_Plus_Real_to_Real,Ratio_1:1
-8.853027445129467,0.21957577827746122,264.7158571328254,1.5304606467236315,43.68279569892473,31.989247311827956,24.327956989247312,3.4981265276099007,6.384851103569003,6.9591881486524745,744.0,12.0,5,Exp4_Synth_Plus_Real_to_Real,Ratio_2:1
-8.950120007076404,0.21902186684934935,262.5033291351378,1.5320854678894513,43.54838709677419,31.989247311827956,24.462365591397848,3.4968124337116286,6.384851103569003,6.942510702509603,744.0,12.0,5,Exp4_Synth_Plus_Real_to_Real,Ratio_4:1
